	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4
FMT.HUCMSC1	0.5460349321365356	0.5128440856933594	0.5164511799812317	0.5241268277168274	0.4995505809783936	0.5929432511329651	0.584375262260437	0.5656170845031738	0.5329418182373047	0.5953158140182495	0	0.5209620594978333	0.5850244760513306	0.5509969592094421	0.5865143537521362	0.5478745698928833	0.6940774321556091	0.567061185836792	0.5702502727508545	0.5488704442977905	0.6022240519523621	0.5906692743301392	0.5384376049041748	0.5542402863502502
FMT.HUCMSC2	0.5297800302505493	0.4810895919799805	0.4753740131855011	0.4901900589466095	0.4939182698726654	0.5671185255050659	0.548366367816925	0.5410267114639282	0.5474829077720642	0.5341240167617798	0.5209620594978333	0	0.5516614317893982	0.489034116268158	0.5325331687927246	0.513027012348175	0.6991553902626038	0.5748942494392395	0.5442805290222168	0.5009208917617798	0.5684365034103394	0.5478674173355103	0.5065860152244568	0.5210332870483398
FMT.HUCMSC3	0.6228320002555847	0.5739372372627258	0.5469556450843811	0.5729390978813171	0.5632888674736023	0.621624767780304	0.6189594864845276	0.595553994178772	0.6206701993942261	0.6158894300460815	0.5850244760513306	0.5516614317893982	0	0.5449526906013489	0.5867149829864502	0.5276795029640198	0.7456428408622742	0.6139822006225586	0.5857335329055786	0.5482160449028015	0.5572724938392639	0.5926231145858765	0.5628554224967957	0.561899721622467
FMT.HUCMSC4	0.5657442212104797	0.5111119151115417	0.528085470199585	0.5125581622123718	0.5227341055870056	0.5862725377082825	0.5719850063323975	0.5540984272956848	0.5905433297157288	0.585175633430481	0.5509969592094421	0.489034116268158	0.5449526906013489	0	0.5502154231071472	0.5033097863197327	0.726051926612854	0.5878195762634277	0.5718048810958862	0.5229929685592651	0.5686182379722595	0.5386414527893066	0.5357522964477539	0.5438348054885864
FMT.HUCMSC5	0.5978404879570007	0.5646525621414185	0.5624067783355713	0.56304931640625	0.5747207999229431	0.6024919152259827	0.5955137014389038	0.6043341755867004	0.5918304920196533	0.5997060537338257	0.5865143537521362	0.5325331687927246	0.5867149829864502	0.5502154231071472	0	0.526658296585083	0.7244406342506409	0.5884432792663574	0.5600014925003052	0.5351149439811707	0.5840182900428772	0.5869730114936829	0.5460776090621948	0.5752531290054321
FMT.NACL1	0.5705550312995911	0.528073787689209	0.5138868689537048	0.5315917730331421	0.5186368227005005	0.5825461745262146	0.5717687606811523	0.5522388219833374	0.5864312052726746	0.5740822553634644	0.5478745698928833	0.513027012348175	0.5276795029640198	0.5033097863197327	0.526658296585083	0	0.7136624455451965	0.563399612903595	0.5245032906532288	0.4677570462226868	0.5350328087806702	0.557218611240387	0.5343360900878906	0.5212234854698181
FMT.NACL2	0.6961638331413269	0.6929579973220825	0.696164071559906	0.7049686312675476	0.705613911151886	0.6713960766792297	0.6793456673622131	0.689026951789856	0.6731100082397461	0.6795353293418884	0.6940774321556091	0.6991553902626038	0.7456428408622742	0.726051926612854	0.7244406342506409	0.7136624455451965	0	0.7017766833305359	0.6858228445053101	0.6966445446014404	0.72202068567276	0.7016008496284485	0.6930358409881592	0.7227377891540527
FMT.NACL3	0.5365090370178223	0.5474555492401123	0.577128529548645	0.5825419425964355	0.5787508487701416	0.588164746761322	0.6040979623794556	0.6165329813957214	0.5898085236549377	0.6088647842407227	0.567061185836792	0.5748942494392395	0.6139822006225586	0.5878195762634277	0.5884432792663574	0.563399612903595	0.7017766833305359	0	0.5219067335128784	0.5430154800415039	0.6113177537918091	0.5857622027397156	0.5781219005584717	0.5831458568572998
FMT.NACL4	0.5770138502120972	0.5119689106941223	0.5457690358161926	0.5670747756958008	0.5553056001663208	0.5911406874656677	0.5699493885040283	0.5728271007537842	0.5778754949569702	0.5674413442611694	0.5702502727508545	0.5442805290222168	0.5857335329055786	0.5718048810958862	0.5600014925003052	0.5245032906532288	0.6858228445053101	0.5219067335128784	0	0.5266082286834717	0.5557525157928467	0.5708198547363281	0.5407201647758484	0.5732948780059814
FMT.NACL5	0.5478891134262085	0.5141000747680664	0.4726856052875519	0.5078427195549011	0.5165182948112488	0.5355621576309204	0.543914258480072	0.5548635721206665	0.5574854016304016	0.5687170028686523	0.5488704442977905	0.5009208917617798	0.5482160449028015	0.5229929685592651	0.5351149439811707	0.4677570462226868	0.6966445446014404	0.5430154800415039	0.5266082286834717	0	0.5470874309539795	0.5543773174285889	0.5187649726867676	0.5352104306221008
FMT.SHED1	0.6372441649436951	0.5822998881340027	0.5655473470687866	0.5803199410438538	0.5702235698699951	0.5396816730499268	0.5321319103240967	0.5102691650390625	0.549917995929718	0.5496447086334229	0.6022240519523621	0.5684365034103394	0.5572724938392639	0.5686182379722595	0.5840182900428772	0.5350328087806702	0.72202068567276	0.6113177537918091	0.5557525157928467	0.5470874309539795	0	0.5364581942558289	0.5697321891784668	0.5995559692382812
FMT.SHED2	0.5906044244766235	0.5681651830673218	0.5521842837333679	0.5500107407569885	0.5749819874763489	0.532654881477356	0.5069547295570374	0.5219182372093201	0.5328435897827148	0.5254429578781128	0.5906692743301392	0.5478674173355103	0.5926231145858765	0.5386414527893066	0.5869730114936829	0.557218611240387	0.7016008496284485	0.5857622027397156	0.5708198547363281	0.5543773174285889	0.5364581942558289	0	0.5659368634223938	0.5879822373390198
FMT.SHED3	0.5438591837882996	0.50734543800354	0.5113337635993958	0.5067688226699829	0.5337817072868347	0.5676749348640442	0.5820857882499695	0.5712080001831055	0.5659940242767334	0.5719330310821533	0.5384376049041748	0.5065860152244568	0.5628554224967957	0.5357522964477539	0.5460776090621948	0.5343360900878906	0.6930358409881592	0.5781219005584717	0.5407201647758484	0.5187649726867676	0.5697321891784668	0.5659368634223938	0	0.5391151905059814
FMT.SHED4	0.5652711391448975	0.5296787619590759	0.5222374200820923	0.5317120552062988	0.5346686840057373	0.5949051380157471	0.5816307663917542	0.602467954158783	0.5995697975158691	0.5982714295387268	0.5542402863502502	0.5210332870483398	0.561899721622467	0.5438348054885864	0.5752531290054321	0.5212234854698181	0.7227377891540527	0.5831458568572998	0.5732948780059814	0.5352104306221008	0.5995559692382812	0.5879822373390198	0.5391151905059814	0
