taxonomy	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4	FMT.SHED5
Phenylobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Plantibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	398.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
Pontibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella	0.0	0.0	0.0	0.0	0.0	27.0	35.0	15.0	29.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	14.0	18.0	0.0	0.0	0.0
Pseudonocardia	119.0	116.0	120.0	88.0	133.0	155.0	122.0	70.0	95.0	85.0	162.0	103.0	29.0	31.0	44.0	116.0	484.0	96.0	133.0	99.0	29.0	21.0	58.0	78.0	5.0
Romboutsia	0.0	5.0	0.0	0.0	0.0	119.0	113.0	91.0	94.0	96.0	0.0	9.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	3.0	20.0	56.0	0.0	0.0	0.0
Roseburia	308.0	1415.0	216.0	281.0	239.0	265.0	216.0	349.0	225.0	186.0	230.0	198.0	59.0	85.0	47.0	116.0	205.0	99.0	96.0	90.0	55.0	89.0	226.0	219.0	108.0
Rubrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium	62.0	125.0	90.0	38.0	71.0	45.0	66.0	58.0	37.0	24.0	182.0	109.0	19.0	23.0	20.0	40.0	11.0	15.0	7.0	3.0	23.0	23.0	32.0	51.0	0.0
Ruminococcus	0.0	0.0	4.0	0.0	0.0	36.0	35.0	32.0	11.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	952.0	0.0	1.0	0.0	0.0	11.0	15.0	0.0	0.0
Sphingomonas	178.0	182.0	79.0	104.0	97.0	123.0	192.0	123.0	154.0	117.0	129.0	86.0	18.0	37.0	864.0	1009.0	13342.0	4495.0	18724.0	1163.0	32.0	51.0	1552.0	114.0	34.0
Streptomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	9.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
Subdoligranulum	0.0	0.0	0.0	0.0	0.0	13.0	12.0	7.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	524.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
Sulfuricurvum	0.0	25.0	0.0	0.0	0.0	10.0	0.0	11.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Terrisporobacter	0.0	0.0	0.0	0.0	0.0	16.0	15.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0
Truepera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
Turicibacter	2.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0
Tyzzerella	10.0	23.0	19.0	13.0	0.0	17.0	36.0	18.0	6.0	3.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	9.0	8.0	11.0	0.0	0.0
