	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4
FMT.HUCMSC5	0.8150732728541521	0.7933436532507739	0.775039745627981	0.7827743902439024	0.8050365556458164	0.7959625090122566	0.7910447761194029	0.8062654575432812	0.7979719188767551	0.7811501597444089	0.8061776061776061	0.7867768595041322	0.759090909090909	0.7817109144542773	0.0	0.7302904564315352	0.9115822130299897	0.7890410958904109	0.7744994731296101	0.7422178988326849	0.793859649122807	0.8018604651162791	0.7521440823327615	0.7636039250669046
FMT.NACL1	0.7908309455587392	0.7706349206349207	0.761326860841424	0.7857689364957919	0.7774058577405858	0.782991202346041	0.7700534759358288	0.7667238421955404	0.7781324820430966	0.756357670221493	0.7876874506708761	0.764406779661017	0.7563218390804598	0.7660642570281124	0.7302904564315352	0.0	0.8967877830437072	0.7712418300653595	0.7508125677139762	0.7105527638190955	0.7697516930022573	0.7770334928229665	0.7743850720949957	0.7018867924528301
FMT.NACL2	0.9142011834319527	0.9063906390639064	0.9095840867992767	0.9137323943661971	0.9182448036951502	0.907566638005159	0.9050549450549451	0.907163053722903	0.9051293690422152	0.9069767441860465	0.9097880018042399	0.9136089177891314	0.9237938596491229	0.9207161125319693	0.9115822130299897	0.8967877830437072	0.0	0.9139891250617894	0.9117174959871589	0.9076224129227662	0.917032967032967	0.919959979989995	0.9095171120487576	0.9075508228460794
FMT.NACL3	0.7889039242219216	0.803623188405797	0.8260244428468727	0.8303324099722992	0.827456864216054	0.8354263053536021	0.8225584594222833	0.8359788359788359	0.8302292263610315	0.8258345428156749	0.839943342776204	0.8253012048192772	0.8346456692913385	0.826278659611993	0.7890410958904109	0.7712418300653595	0.9139891250617894	0.0	0.748753738783649	0.7840210711150132	0.8313725490196079	0.836424957841484	0.8289174867524602	0.8128514056224899
FMT.NACL4	0.8303378864126527	0.7630922693266833	0.8230584467574059	0.8297546012269938	0.8225399495374264	0.8285714285714286	0.8130268199233717	0.8210616438356164	0.8192771084337349	0.8103025347506132	0.8330696202531646	0.8201013513513513	0.8155452436194895	0.8166160081053698	0.7744994731296101	0.7508125677139762	0.9117174959871589	0.748753738783649	0.0	0.742798353909465	0.7992998833138857	0.8252895752895753	0.8211243611584327	0.8077969174977334
FMT.NACL5	0.8063858695652174	0.7751703255109765	0.7189751801441153	0.750188679245283	0.776	0.7480086893555394	0.7423220973782771	0.7657657657657657	0.7663839629915189	0.76171875	0.779467680608365	0.7625607779578606	0.778131634819533	0.7800751879699248	0.7422178988326849	0.7105527638190955	0.9076224129227662	0.7840210711150132	0.742798353909465	0.0	0.7901878914405011	0.8016014234875445	0.7809983896940419	0.7532355478861087
FMT.SHED1	0.8491537895511405	0.8252267106347898	0.8116554054054054	0.822061191626409	0.829246935201401	0.7905511811023622	0.7637271214642263	0.7638758231420508	0.782871972318339	0.7604630454140695	0.8407224958949097	0.7992799279927992	0.7394736842105263	0.8041125541125541	0.793859649122807	0.7697516930022573	0.917032967032967	0.8313725490196079	0.7992998833138857	0.7901878914405011	0.0	0.7710330138445154	0.8215878679750223	0.8064823641563393
FMT.SHED2	0.8343313373253493	0.8148420279206466	0.7944066515495087	0.7957695113056164	0.8113795791114575	0.7807637906647807	0.7572383073496659	0.7658175842235004	0.7824427480916031	0.7636932707355243	0.8226637233259749	0.792063492063492	0.7962184873949579	0.7755681818181818	0.8018604651162791	0.7770334928229665	0.919959979989995	0.836424957841484	0.8252895752895753	0.8016014234875445	0.7710330138445154	0.0	0.8014297061159651	0.7858347386172007
FMT.SHED3	0.7473890339425587	0.7303851640513552	0.7091575091575092	0.7115520907158044	0.7438752783964365	0.7932354818123803	0.783212161269002	0.797550432276657	0.7939767282683093	0.7757533286615277	0.7450284090909091	0.7214231642694928	0.7507136060894386	0.7381158167675022	0.7521440823327615	0.7743850720949957	0.9095171120487576	0.8289174867524602	0.8211243611584327	0.7809983896940419	0.8215878679750223	0.8014297061159651	0.0	0.6945572705117791
FMT.SHED4	0.7170596393897365	0.7077039274924471	0.6763096168881939	0.6967213114754098	0.7310398749022674	0.7763599731363331	0.7582340574632095	0.7906273620559335	0.7846374730796841	0.7670830271858927	0.7299925205684368	0.7050359712230215	0.7331975560081466	0.7411764705882353	0.7636039250669046	0.7018867924528301	0.9075508228460794	0.8128514056224899	0.8077969174977334	0.7532355478861087	0.8064823641563393	0.7858347386172007	0.6945572705117791	0.0
