sequence	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4	FMT.SHED5
1003093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73760	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4319889	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4381899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4348122	0.0	0.0	0.0	0.0	0.0	62.0	45.0	20.0	29.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	235.0	0.0	0.0	5.0	6.0	20.0	0.0	0.0	0.0
4394175	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
4333921	3.0	0.0	0.0	0.0	3.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
305127	6.0	32.0	20.0	14.0	18.0	16.0	45.0	30.0	18.0	27.0	21.0	32.0	3.0	12.0	12.0	16.0	18.0	14.0	18.0	31.0	1.0	8.0	13.0	14.0	0.0
4385637	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4414872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4408741	17.0	20.0	0.0	0.0	0.0	45.0	100.0	57.0	80.0	70.0	36.0	23.0	0.0	0.0	0.0	0.0	225.0	77.0	101.0	21.0	13.0	18.0	32.0	8.0	0.0
158415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0
265102	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
267411	2.0	20.0	12.0	0.0	0.0	111.0	42.0	73.0	26.0	66.0	15.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	12.0	22.0	0.0	0.0	0.0
4340587	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
189190	29.0	3.0	34.0	9.0	14.0	41.0	63.0	51.0	12.0	32.0	21.0	165.0	0.0	0.0	3.0	0.0	32.0	0.0	0.0	6.0	0.0	123.0	19.0	24.0	0.0
4426962	5.0	29.0	26.0	10.0	6.0	4.0	9.0	0.0	15.0	11.0	13.0	15.0	3.0	0.0	0.0	0.0	11.0	11.0	6.0	0.0	0.0	0.0	7.0	0.0	0.0
100443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4464557	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
289407	18.0	14.0	19.0	20.0	12.0	230.0	202.0	109.0	281.0	181.0	12.0	11.0	20.0	4.0	28.0	99.0	135.0	58.0	63.0	78.0	40.0	39.0	10.0	16.0	7.0
294998	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
234298	32.0	29.0	102.0	84.0	17.0	2684.0	3610.0	392.0	237.0	175.0	13.0	17.0	10.0	6.0	43.0	50.0	516.0	95.0	256.0	57.0	117.0	154.0	77.0	59.0	7.0
207320	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
589504	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
851822	0.0	0.0	0.0	0.0	0.0	17.0	13.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
516290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
297202	0.0	0.0	0.0	0.0	0.0	0.0	13.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
344093	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0
104933	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	2.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
246387	0.0	0.0	0.0	0.0	0.0	2.0	12.0	11.0	17.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0
175358	291.0	267.0	266.0	183.0	173.0	32.0	10.0	58.0	17.0	40.0	898.0	842.0	50.0	81.0	0.0	6.0	18.0	0.0	0.0	0.0	7.0	0.0	113.0	155.0	43.0
4338161	7.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0
4377101	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
309693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
830447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141661	8.0	3.0	5.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
4289859	0.0	0.0	0.0	0.0	0.0	16.0	15.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
186578	24.0	28.0	73.0	24.0	17.0	31.0	26.0	16.0	30.0	8.0	7.0	14.0	6.0	20.0	7.0	26.0	20.0	18.0	5.0	25.0	0.0	0.0	27.0	11.0	3.0
271799	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
212688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
667312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	14.0	0.0	0.0
180869	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16195	10.0	4.0	10.0	6.0	0.0	8.0	0.0	0.0	0.0	12.0	0.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0
